,road_id,road_name,common_road_name,cway,speed_limit,network_type
59908,1071903,Allatoona Av,Allatoona Av,S,110km/h or 50km/h built up areas,Local Road
59917,1104893,Conquest Wy,Conquest Wy,S,110km/h or 50km/h built up areas,Local Road
59919,1070422,Rogers St,Rogers St,S,110km/h or 50km/h built up areas,Local Road
59925,6052077,Osmetti Dr,Osmetti Dr,S,50km/h,Local Road
59926,1310961,Doveridge Dr,Doveridge Dr,S,110km/h or 50km/h built up areas,Local Road
59943,1251184,Barratt St,Barratt St,S,110km/h or 50km/h built up areas,Local Road
59947,1091781,Yalgar Pl,Yalgar Pl,S,110km/h or 50km/h built up areas,Local Road
59973,1010432,Piara Dr,Piara Dr,S,110km/h or 50km/h built up areas,Local Road
59974,1105851,Whimbrel Vsta,Whimbrel Vsta,S,110km/h or 50km/h built up areas,Local Road
59979,1103648,Englefield Rtt,Englefield Rtt,S,110km/h or 50km/h built up areas,Local Road
59985,1032323,Factory Wy,Factory Wy,S,110km/h or 50km/h built up areas,Local Road
59995,2010593,Un Named Rd (South Point),Un Named Rd (South Point),S,110km/h or 50km/h built up areas,Local Road
60004,1310363,Coral St,Coral St,S,110km/h or 50km/h built up areas,Local Road
60008,1310708,Nicholli St,Nicholli St,S,110km/h or 50km/h built up areas,Local Road
60010,1091010,Salween Pl,Salween Pl,S,110km/h or 50km/h built up areas,Local Road
60020,1104891,Hampshire Dr,Hampshire Dr,S,110km/h or 50km/h built up areas,Local Road
60031,1106788,Graceful Bvd,Graceful Bvd,R,110km/h or 50km/h built up areas,Local Road
60033,1250606,Maltarra St,Maltarra St,S,110km/h or 50km/h built up areas,Local Road
60036,2121789,Omeo L,Omeo L,S,110km/h or 50km/h built up areas,Local Road
60048,2060004,Boundary Rd,Boundary Rd,S,110km/h or 50km/h built up areas,Local Road
60073,1106489,Albizia St,Albizia St,S,110km/h or 50km/h built up areas,Local Road
60090,1106947,Supreme Loop,Supreme Loop,S,110km/h or 50km/h built up areas,Local Road
60107,1010901,Powell Cr,Powell Cr,S,110km/h or 50km/h built up areas,Local Road
60108,1260459,Apus Loop,Apus Loop,S,70km/h,Local Road
60115,3120074,Monash Rd,Monash Rd,S,110km/h or 50km/h built up areas,Local Road
60130,1290189,Enfield St,Enfield St,S,110km/h or 50km/h built up areas,Local Road
60131,2010104,Town View Tce,Town View Tce,S,110km/h or 50km/h built up areas,Local Road
60132,1102636,Sapling Wy,Sapling Wy,S,110km/h or 50km/h built up areas,Local Road
60167,1251374,Wardlow Wy,Wardlow Wy,S,110km/h or 50km/h built up areas,Local Road
60171,1090543,Henley St,Henley St,S,70km/h,Local Road
60199,3021035,Mill St,Mill St,S,50km/h,Local Road
60208,3021036,Vancouver St,Vancouver St,S,50km/h,Local Road
60214,1020998,Foxton Bvd,Foxton Bvd,S,110km/h or 50km/h built up areas,Local Road
60234,1010073,Hall Rd,Hall Rd,S,110km/h or 50km/h built up areas,Local Road
60239,1240299,Princess Rd,Princess Rd,S,110km/h or 50km/h built up areas,Local Road
60279,3100207,Mobrup North Rd,Mobrup North Rd,S,110km/h or 50km/h built up areas,Local Road
60349,1070410,Dorado St,Dorado St,S,110km/h or 50km/h built up areas,Local Road
60351,0010001,Cable Beach Rd West,Cable Beach Rd West,S,110km/h or 50km/h built up areas,Local Road
60372,5051041,Alexander Dr,Alexander Dr,S,80km/h,Local Road
60380,118Z036,Manoora Cl,Manoora Cl,S,60km/h,State Road
60401,1210128,Ferrier L,Ferrier L,S,110km/h or 50km/h built up areas,Local Road
60412,1140290,Isobel St,Isobel St,S,110km/h or 50km/h built up areas,Local Road
60448,1010661,Rupert St,Rupert St,S,110km/h or 50km/h built up areas,Local Road
60449,1140984,Tansor Pl,Tansor Pl,S,110km/h or 50km/h built up areas,Local Road
60454,2121589,Lloyd Ct,Lloyd Ct,S,80km/h,State Road
60455,1250404,Poincaire St,Poincaire St,S,110km/h or 50km/h built up areas,Local Road
60458,1250666,Findon Cr,Findon Cr,S,110km/h or 50km/h built up areas,Local Road
60459,1260097,Griffin Cr,Griffin Cr,S,110km/h or 50km/h built up areas,Local Road
60495,1240312,Hardy Rd,Hardy Rd,S,110km/h or 50km/h built up areas,Local Road
60514,4060002,Goomalling - Meckering Rd,Goomalling - Meckering Rd,S,110km/h or 50km/h built up areas,Local Road
60517,1252616,Pompei Cr,Pompei Cr,S,110km/h or 50km/h built up areas,Local Road
60541,1100242,Coogee Rd,Coogee Rd,S,60km/h,Local Road
60549,8140170,Cleaverville Rd,Cleaverville Rd,S,110km/h or 50km/h built up areas,Local Road
60550,1062525,Coolgardie St,Coolgardie St,S,110km/h or 50km/h built up areas,Local Road
60551,1030036,Doolette St,Doolette St,S,110km/h or 50km/h built up areas,Local Road
60567,1312119,Willesden Av,Willesden Av,S,110km/h or 50km/h built up areas,Local Road
60575,1251200,Arnott St,Arnott St,S,110km/h or 50km/h built up areas,Local Road
60577,1100218,Russell Rd,Russell Rd,S,110km/h or 50km/h built up areas,Local Road
60599,1311740,Weldwood Rd,Weldwood Rd,S,110km/h or 50km/h built up areas,Local Road
60606,1090981,Robertson St,Robertson St,S,110km/h or 50km/h built up areas,Local Road
60618,1314429,Ambassador Dr,Ambassador Dr,S,110km/h or 50km/h built up areas,Local Road
60622,1210015,Fairlight St,Fairlight St,S,110km/h or 50km/h built up areas,Local Road
60628,2010007,Ellen Brook Rd,Ellen Brook Rd,S,110km/h or 50km/h built up areas,Local Road
